"genes"	"modules"
"60"	"KIF1C"	"M5"
"61"	"SYP"	"M2"
"62"	"PKP4"	"M5"
"63"	"GRIN1"	"M6"
"64"	"GNG7"	"M4"
"65"	"PHYHIP"	"M2"
"66"	"PSD"	"M1"
"67"	"STMN2"	"M2"
"68"	"AGAP2"	"M6"
"69"	"ATP1A3"	"M2"
"70"	"TTYH1"	"M3"
"71"	"CHN1"	"M1"
"72"	"CAMK2N1"	"M1"
"73"	"THY1"	"M1"
"74"	"QDPR"	"M5"
"75"	"TF"	"M5"
"76"	"KCNQ2"	"M2"
"77"	"RGS5"	"M3"
"78"	"CAMK2A"	"M1"
"79"	"CADM3"	"M2"
"80"	"TMSB10"	"M1"
"81"	"PACSIN1"	"M6"
"82"	"SYT1"	"M2"
"83"	"NDRG1"	"M5"
"84"	"PTP4A2"	"M5"
"85"	"CERCAM"	"M5"
"86"	"NSG2"	"M6"
"87"	"GJA1"	"M3"
"88"	"VIM"	"M3"
"89"	"MLC1"	"M3"
"90"	"FGF1"	"M5"
"91"	"GSN"	"M5"
"92"	"SYNGR1"	"M2"
"93"	"PPP3CA"	"M6"
"94"	"PTPRZ1"	"M3"
"95"	"PPP1R1B"	"M3"
"96"	"DAAM2"	"M5"
"97"	"A2M"	"M5"
"98"	"RAPGEF4"	"M1"
"99"	"PSD3"	"M2"
"100"	"SORT1"	"M1"
"101"	"DMTN"	"M6"
"102"	"OLFM1"	"M2"
"103"	"ZEB2"	"M5"
"104"	"MCF2L"	"M4"
"105"	"SHTN1"	"M5"
"106"	"APOD"	"M5"
"107"	"KIAA0930"	"M4"
"108"	"RAP1GAP"	"M6"
"109"	"PEG10"	"Not.Correlated"
"110"	"KIAA0513"	"M2"
"111"	"B3GAT1"	"M1"
"112"	"JPH4"	"M6"
"113"	"TSC22D4"	"M3"
"114"	"HLA.B"	"M7"
"115"	"PCSK1N"	"M1"
"116"	"GAP43"	"M2"
"117"	"HPCAL4"	"M6"
"118"	"HTRA1"	"M3"
"119"	"VSNL1"	"M2"
"120"	"NSF"	"M2"
"121"	"ATP2B2"	"M2"
"122"	"ERMN"	"M5"
"123"	"LZTS3"	"M2"
"124"	"HBB"	"Not.Correlated"
"125"	"SYN1"	"M2"
"126"	"DBNDD2"	"M5"
"127"	"CACNA1A"	"M4"
"128"	"KCNAB2"	"M1"
"129"	"SYS1.DBNDD2"	"M5"
"130"	"CAMKK2"	"M2"
"131"	"SPTBN2"	"M2"
"132"	"GOLGA8A"	"M4"
"133"	"CNTN2"	"M5"
"134"	"NEFM"	"M2"
"135"	"HSPH1"	"Not.Correlated"
"136"	"ANKRD40"	"M5"
"137"	"PLEKHH1"	"M5"
"138"	"SELENOP"	"M5"
"139"	"PRRT2"	"M2"
"140"	"GOLGA8B"	"M4"
"141"	"RBFOX2"	"M2"
"142"	"JPH3"	"M6"
"143"	"RASSF2"	"M5"
"144"	"BASP1"	"M6"
"145"	"PIP4K2A"	"M5"
"146"	"SNCB"	"M2"
"147"	"FGFR3"	"M3"
"148"	"NEFL"	"M2"
"149"	"PBXIP1"	"M3"
"150"	"HLA.E"	"M7"
"151"	"DNAJB1"	"Not.Correlated"
"152"	"HEPACAM"	"M3"
"153"	"ENHO"	"M3"
"154"	"SLC44A1"	"M5"
"155"	"KCNJ10"	"M3"
"156"	"SPP1"	"M5"
"157"	"STX1B"	"M2"
"158"	"PRKCB"	"M6"
"159"	"ARPP21"	"M6"
"160"	"ALDH6A1"	"M3"
"161"	"ATP2B1"	"M6"
"162"	"NRGN"	"M1"
"163"	"ZCCHC24"	"M5"
"164"	"TIMP2"	"M4"
"165"	"X.14"	"M4"
"166"	"PON2"	"M3"
"167"	"SYNPO"	"M1"
"168"	"CPLX1"	"M6"
"169"	"PAIP2B"	"M5"
"170"	"RAB31"	"M3"
"171"	"DPYSL3"	"M3"
"172"	"PNMA2"	"M1"
"173"	"NPIPA1"	"M4"
"174"	"DDR1"	"M3"
"175"	"ITPKB"	"M3"
"176"	"FN1"	"M3"
"177"	"TAGLN3"	"M2"
"178"	"ZBTB18"	"M4"
"179"	"SCN2A"	"M2"
"180"	"UNC13A"	"M2"
"181"	"EPB41L2"	"M4"
"182"	"NPTXR"	"M2"
"183"	"AIF1L"	"M5"
"184"	"RAB3A"	"M2"
"185"	"SLC12A5"	"M2"
"186"	"SNAP91"	"M2"
"187"	"ERBIN"	"M3"
"188"	"CCDC152"	"M5"
"189"	"RGS11"	"M4"
"190"	"PTK2B"	"M2"
"191"	"X.26"	"M1"
"192"	"GP1BB"	"M6"
"193"	"HLA.C"	"M7"
"194"	"DHCR24"	"Not.Correlated"
"195"	"TMEM130"	"M6"
"196"	"TXNIP"	"M2"
"197"	"HSPB1"	"M7"
"198"	"LMO3"	"M1"
"199"	"PLPP3"	"M3"
"200"	"CD74"	"M8"
"201"	"STOM"	"M3"
"202"	"LPAR1"	"M5"
"203"	"LAMP2"	"M5"
"204"	"SYN2"	"M6"
"205"	"TIMP3"	"M3"
"206"	"SCG2"	"M1"
"207"	"OLIG1"	"M5"
"208"	"JUN"	"Not.Correlated"
"209"	"CLSTN3"	"M2"
"210"	"FBXO41"	"M6"
"211"	"PLXNB2"	"M1"
"212"	"MT2A"	"M3"
"213"	"GRAMD1B"	"M4"
"214"	"RIMS3"	"M2"
"215"	"PADI2"	"M5"
"216"	"SLCO1A2"	"M5"
"217"	"ADGRG1"	"M3"
"218"	"ETNPPL"	"M3"
"219"	"RPH3A"	"M2"
"220"	"TNS1"	"M5"
"221"	"OSBPL1A"	"M1"
"222"	"CLIC4"	"M3"
"223"	"LAMA5"	"M1"
"224"	"BSN"	"M2"
"225"	"CHGB"	"M4"
"226"	"S100A13"	"M3"
"227"	"IFITM3"	"M7"
"228"	"SNTA1"	"M3"
"229"	"EDIL3"	"M5"
"230"	"INA"	"M2"
"231"	"SH3BGRL"	"M4"
"232"	"PPFIA4"	"M4"
"233"	"PTPRN"	"M2"
"234"	"SRGAP2"	"M1"
"235"	"CELF4"	"M2"
"236"	"SEMA4D"	"M5"
"237"	"DCLK1"	"M1"
"238"	"NPIPA9"	"M4"
"239"	"RHOBTB3"	"M3"
"240"	"HEPN1"	"M3"
"241"	"CRIP2"	"M1"
"242"	"NMNAT2"	"M2"
"243"	"RAPGEF5"	"M5"
"244"	"PSAT1"	"M3"
"245"	"SOGA1"	"M1"
"246"	"MSN"	"M3"
"247"	"PLAAT3"	"M5"
"248"	"SH3GL2"	"M2"
"249"	"SYNM"	"M3"
"250"	"ALDH7A1"	"M3"
"251"	"CAMK1D"	"M6"
"252"	"MYO10"	"M3"
"253"	"TMEM151B"	"M4"
"254"	"LMO4"	"M1"
"255"	"PAK1"	"M2"
"256"	"NREP"	"M4"
"257"	"IQSEC3"	"M2"
"258"	"IGFBP7"	"M3"
"259"	"SASH1"	"M3"
"260"	"AP1G2"	"M4"
"261"	"GNG3"	"M2"
"262"	"CDK18"	"M5"
"263"	"INF2"	"M4"
"264"	"ADD2"	"M2"
"265"	"SPTB"	"M4"
"266"	"HPCA"	"M6"
"267"	"LPCAT4"	"M2"
"268"	"FGFR2"	"M5"
"269"	"HBA2"	"Not.Correlated"
"270"	"HSPB8"	"M3"
"271"	"MAOB"	"M4"
"272"	"CTNNA2"	"M1"
"273"	"CAMK4"	"M2"
"274"	"PHGDH"	"M3"
"275"	"MOG"	"M5"
"276"	"PTPRN2"	"M1"
"277"	"TMEM178A"	"M4"
"278"	"ADGRB1"	"M1"
"279"	"SLC4A4"	"M3"
"280"	"L1CAM"	"M2"
"281"	"SCN1B"	"M4"
"282"	"SLC24A2"	"M5"
"283"	"CELF3"	"M6"
"284"	"ALDH1A1"	"Not.Correlated"
"285"	"ADCY1"	"M2"
"286"	"S100A1"	"M3"
"287"	"HPCAL1"	"M4"
"288"	"TIAM1"	"M4"
"289"	"ZFP36L1"	"M3"
"290"	"ADCY5"	"M1"
"291"	"MYRF"	"M5"
"292"	"ALCAM"	"M4"
"293"	"C1orf198"	"M5"
"294"	"ITPR1"	"M2"
"295"	"X.256"	"M4"
"296"	"MICAL2"	"M4"
"297"	"MAST3"	"M1"
"298"	"GRIA1"	"M6"
"299"	"DOCK1"	"M3"
"300"	"CELF5"	"M6"
"301"	"ADCY2"	"M3"
"302"	"MID1IP1"	"M5"
"303"	"VXN"	"M1"
"304"	"UNC80"	"M2"
"305"	"ST8SIA3"	"M6"
"306"	"VAT1L"	"Not.Correlated"
"307"	"AP3B2"	"M2"
"308"	"CARNS1"	"M5"
"309"	"PCLO"	"M2"
"310"	"CHD5"	"M2"
"311"	"NCAN"	"M3"
"312"	"OLFM2"	"M3"
"313"	"ENC1"	"M1"
"314"	"SYT4"	"M2"
"315"	"TMEM144"	"M5"
"316"	"NELL2"	"M2"
"317"	"NECAB1"	"M1"
"318"	"RBFOX1"	"M6"
"319"	"GAB2"	"M5"
"320"	"CSPG5"	"M1"
"321"	"HSPA2"	"M5"
"322"	"AK5"	"M1"
"323"	"SERPINI1"	"M1"
"324"	"OPALIN"	"M5"
"325"	"LRP4"	"M3"
"326"	"SYNPR"	"M6"
"327"	"IRAG1"	"M3"
"328"	"DIRAS2"	"M2"
"329"	"NRXN3"	"M4"
"330"	"AQP1"	"Not.Correlated"
"331"	"KCNIP2"	"M6"
"332"	"PHACTR1"	"M1"
"333"	"PMP22"	"M5"
"334"	"PDZD2"	"M1"
"335"	"SPOCK3"	"M5"
"336"	"RAB3C"	"M6"
"337"	"AGRN"	"M1"
"338"	"SLC25A18"	"M3"
"339"	"CALY"	"M6"
"340"	"SRRM3"	"M2"
"341"	"RBFOX3"	"M2"
"342"	"ENPP2"	"M5"
"343"	"CYP46A1"	"M1"
"344"	"SEMA3B"	"M5"
"345"	"RND2"	"M2"
"346"	"SCN4B"	"M2"
"347"	"SCN2B"	"M2"
"348"	"LGALS1"	"M3"
"349"	"MAG"	"M5"
"350"	"SULT4A1"	"M2"
"351"	"PITPNM3"	"M6"
"352"	"CTXN1"	"M1"
"353"	"NEURL1"	"M6"
"354"	"RAPGEF3"	"M3"
"355"	"EFHD1"	"M5"
"356"	"ALS2"	"M4"
"357"	"CALN1"	"M4"
"358"	"FOS"	"Not.Correlated"
"359"	"FAM107B"	"M5"
"360"	"RAB15"	"M2"
"361"	"LHPP"	"M5"
"362"	"DPYSL5"	"Not.Correlated"
"363"	"KCNA2"	"M2"
"364"	"EZR"	"M3"
"365"	"PDE2A"	"M1"
"366"	"SOX8"	"M5"
"367"	"TP53BP2"	"M3"
"368"	"YJEFN3"	"M6"
"369"	"B4GALNT1"	"M2"
"370"	"EDNRB"	"M3"
"371"	"SEZ6L"	"M4"
"372"	"OMG"	"M1"
"373"	"PLCH2"	"M4"
"374"	"FBXW7"	"M2"
"375"	"GRIA4"	"M4"
"376"	"SHC3"	"M1"
"377"	"ALDH1L1"	"M3"
"378"	"CLDN5"	"M7"
"379"	"SLC6A17"	"M2"
"380"	"HBA1"	"Not.Correlated"
"381"	"RGMA"	"M3"
"382"	"CNKSR2"	"M2"
"383"	"ITGB1"	"M3"
"384"	"RIMS4"	"M6"
"385"	"SCRG1"	"M3"
"386"	"SNCG"	"Not.Correlated"
"387"	"MOCS1"	"M5"
"388"	"MRTFB"	"M1"
"389"	"MAST1"	"M4"
"390"	"CADPS"	"M2"
"391"	"SYT7"	"M6"
"392"	"PISD"	"M4"
"393"	"HOPX"	"M1"
"394"	"ARHGEF25"	"M4"
"395"	"JMJD7.PLA2G4B"	"M4"
"396"	"CNTNAP4"	"M5"
"397"	"TMBIM1"	"M3"
"398"	"RNASE1"	"M5"
"399"	"NPTX1"	"M2"
"400"	"VWF"	"M7"
"401"	"KCNT1"	"M2"
"402"	"BAIAP3"	"M1"
"403"	"NNAT"	"M1"
"404"	"DIRAS1"	"M2"
"405"	"MRO"	"M3"
"406"	"SYNGR3"	"M2"
"407"	"SV2B"	"M2"
"408"	"CD99"	"M3"
"409"	"CKMT1B"	"M2"
"410"	"EPHB6"	"M1"
"411"	"X.86"	"M3"
"412"	"CNTNAP2"	"M1"
"413"	"TRANK1"	"M2"
"414"	"SOX9"	"M3"
"415"	"GABRG1"	"M3"
"416"	"RIMS2"	"M6"
"417"	"GNAL"	"M1"
"418"	"RHOC"	"M3"
"419"	"PODXL"	"M7"
"420"	"RIMS1"	"M2"
"421"	"SOX2"	"M3"
"422"	"NEK7"	"M5"
"423"	"CNIH2"	"M1"
"424"	"MYLK"	"M4"
"425"	"DCN"	"M3"
"426"	"HAPLN2"	"M5"
"427"	"MGST1"	"M3"
"428"	"PDK4"	"M3"
"429"	"LINGO1"	"M1"
"430"	"PDE1B"	"M1"
"431"	"SCN3B"	"M6"
"432"	"DOC2B"	"M2"
"433"	"ARAP2"	"M3"
"434"	"COL5A3"	"M3"
"435"	"BAG3"	"Not.Correlated"
"436"	"CAPN3"	"M5"
"437"	"SOWAHA"	"M6"
"438"	"CLDN11"	"M5"
"439"	"GAD1"	"M6"
"440"	"CABLES1"	"M3"
"441"	"ALDH4A1"	"M3"
"442"	"WLS"	"M3"
"443"	"DDN"	"M1"
"444"	"GRIA3"	"M1"
"445"	"KALRN"	"M1"
"446"	"ANLN"	"M5"
"447"	"PEX5L"	"M1"
"448"	"TMEM123"	"M3"
"449"	"CAP2"	"M6"
"450"	"SLC8A2"	"M2"
"451"	"GABBR2"	"M2"
"452"	"BOK"	"M5"
"453"	"NPIPA7"	"M4"
"454"	"CNDP1"	"M5"
"455"	"EFEMP1"	"M3"
"456"	"COL18A1"	"M2"
"457"	"MEF2C"	"M1"
"458"	"GABRB3"	"M6"
"459"	"RHOBTB2"	"M1"
"460"	"MYT1L"	"M6"
"461"	"GRIN2C"	"M1"
"462"	"TTYH2"	"M5"
"463"	"SCARA3"	"M3"
"464"	"KCNH3"	"M6"
"465"	"UNC13C"	"M2"
"466"	"CA2"	"M3"
"467"	"CPOX"	"M5"
"468"	"DLC1"	"M4"
"469"	"SCN8A"	"M2"
"470"	"ITGB8"	"M3"
"471"	"ID4"	"M3"
"472"	"STUM"	"M1"
"473"	"CAMKK1"	"M6"
"474"	"TMEM63A"	"M5"
"475"	"CLK4"	"M1"
"476"	"WWC1"	"M3"
"477"	"KCTD17"	"M1"
"478"	"ETV1"	"M1"
"479"	"CAMKV"	"M1"
"480"	"SLC9A7"	"M6"
"481"	"SYNJ2"	"M5"
"482"	"ADAM23"	"M6"
"483"	"X.91"	"M5"
"484"	"NR4A1"	"Not.Correlated"
"485"	"OPCML"	"M2"
"486"	"NSG1"	"M2"
"487"	"GRM3"	"M3"
"488"	"DLGAP3"	"M6"
"489"	"GRIK2"	"M4"
"490"	"PRR36"	"M2"
"491"	"C2orf72"	"M3"
"492"	"GABRB2"	"M2"
"493"	"PCP4"	"M6"
"494"	"TMPO"	"Not.Correlated"
"495"	"NPIPA5"	"M4"
"496"	"CD9"	"M5"
"497"	"MYORG"	"M3"
"498"	"ARHGEF10L"	"M1"
"499"	"ITM2A"	"M5"
"500"	"PNMA8B"	"M1"
"501"	"RASGRF1"	"M4"
"502"	"GABRA1"	"M2"
"503"	"RYR2"	"M2"
"504"	"SDC4"	"M3"
"505"	"COL9A2"	"M5"
"506"	"ARHGEF6"	"M3"
"507"	"TAGLN"	"Not.Correlated"
"508"	"DLGAP1"	"M2"
"509"	"SCRT1"	"M2"
"510"	"F3"	"M3"
"511"	"HHATL"	"M5"
"512"	"PLCB1"	"M1"
"513"	"CORO6"	"M6"
"514"	"DOC2A"	"M2"
"515"	"PCDH10"	"M1"
"516"	"OBSCN"	"M4"
"517"	"KIAA1549L"	"M6"
"518"	"SLCO2B1"	"M8"
"519"	"RAP1GAP2"	"M2"
"520"	"CACNA1E"	"M6"
"521"	"SHANK1"	"M2"
"522"	"CX3CL1"	"M1"
"523"	"KIF13B"	"M5"
"524"	"MAL"	"M5"
"525"	"JUNB"	"Not.Correlated"
"526"	"PTPN5"	"M1"
"527"	"AMOT"	"M3"
"528"	"TPPP3"	"M5"
"529"	"RHOU"	"M5"
"530"	"TMEM120B"	"M4"
"531"	"SLC7A11"	"M3"
"532"	"KCNB1"	"M6"
"533"	"NRIP3"	"M2"
"534"	"NRN1"	"M4"
"535"	"KIF21B"	"M1"
"536"	"RELN"	"M4"
"537"	"NRSN1"	"M1"
"538"	"SMIM10L2A"	"M1"
"539"	"TPD52L1"	"M3"
"540"	"GABRG2"	"M2"
"541"	"PDIA2"	"M4"
"542"	"FGF12"	"M2"
"543"	"PAGR1"	"M1"
"544"	"PLS3"	"M4"
"545"	"PLEKHG5"	"M4"
"546"	"CYBRD1"	"M3"
"547"	"PHF24"	"M6"
"548"	"ADARB1"	"M4"
"549"	"ABCC8"	"M4"
"550"	"ACTN2"	"M4"
"551"	"X.157"	"Not.Correlated"
"552"	"SLC8A1"	"M1"
"553"	"RNF112"	"M2"
"554"	"SVOP"	"M2"
"555"	"MAFK"	"M5"
"556"	"CACNA1B"	"M2"
"557"	"UTRN"	"M4"
"558"	"ADAM11"	"M4"
"559"	"C3"	"M8"
"560"	"RYR3"	"M3"
"561"	"NOTCH2"	"M3"
"562"	"GRAMD2B"	"M3"
"563"	"ADGRV1"	"M6"
"564"	"GABRA2"	"M1"
"565"	"KCNQ3"	"M1"
"566"	"CACNB4"	"M2"
"567"	"LRP10"	"M3"
"568"	"GALNT17"	"M2"
"569"	"KLHL3"	"M4"
"570"	"SLC17A7"	"M4"
"571"	"LGALS3BP"	"M2"
"572"	"SOX10"	"M5"
"573"	"CELSR3"	"M4"
"574"	"RASD1"	"Not.Correlated"
"575"	"TLE2"	"M4"
"576"	"ADGRA3"	"M3"
"577"	"CABP1"	"M2"
"578"	"SPATA13"	"M5"
"579"	"DGKD"	"M1"
"580"	"TRIL"	"M3"
"581"	"TGM2"	"M7"
"582"	"TMEM47"	"M3"
"583"	"ZIC1"	"M1"
"584"	"FGF2"	"M3"
"585"	"KCNAB1"	"M6"
"586"	"MMD"	"M1"
"587"	"MT1E"	"M3"
"588"	"FOSL2"	"M7"
"589"	"PPP1R1A"	"M1"
"590"	"GABRD"	"M2"
"591"	"TRPM3"	"M4"
"592"	"SPECC1L.ADORA2A"	"Not.Correlated"
"593"	"TAGLN2"	"M7"
"594"	"CNR1"	"M6"
"595"	"CRYM"	"M2"
"596"	"FABP7"	"Not.Correlated"
"597"	"PRKCE"	"M2"
"598"	"MAN2A1"	"M5"
"599"	"C1orf115"	"M1"
"600"	"UGT8"	"M5"
"601"	"NPIPA8"	"M4"
"602"	"CHD7"	"M1"
"603"	"CHST1"	"M1"
"604"	"SLIT1"	"M1"
"605"	"TRIM3"	"M4"
"606"	"PPIP5K1"	"M4"
"607"	"ADAMTS1"	"M7"
"608"	"AEBP1"	"M3"
"609"	"CACNB3"	"M6"
"610"	"ELMOD1"	"M6"
"611"	"AMPH"	"M2"
"612"	"STX1A"	"M2"
"613"	"UNC5A"	"M2"
"614"	"PNCK"	"M1"
"615"	"DOK6"	"M6"
"616"	"ST18"	"M1"
"617"	"PLA2G4B"	"M4"
"618"	"ARHGEF37"	"M5"
"619"	"NGEF"	"M1"
"620"	"RAB26"	"M2"
"621"	"ADARB2"	"M5"
"622"	"PLXND1"	"M4"
"623"	"CHN2"	"M1"
"624"	"GLTP"	"M5"
"625"	"NEFH"	"M2"
"626"	"ITGB4"	"M7"
"627"	"ARVCF"	"M4"
"628"	"LITAF"	"M5"
"629"	"COL7A1"	"M4"
"630"	"CKMT1A"	"M2"
"631"	"PAX6"	"M1"
"632"	"UBE2QL1"	"M2"
"633"	"NKX6.2"	"M5"
"634"	"DGKH"	"M2"
"635"	"SYT5"	"M1"
"636"	"CACNG8"	"M1"
"637"	"PPP1R15A"	"Not.Correlated"
"638"	"MAP3K9"	"M2"
"639"	"MGAT5B"	"M6"
"640"	"PRODH"	"M3"
"641"	"ATP8A2"	"M2"
"642"	"JAKMIP1"	"M1"
"643"	"COL9A3"	"M5"
"644"	"GPR158"	"M2"
"645"	"TSPAN13"	"M6"
"646"	"GAD2"	"M6"
"647"	"PRKCG"	"M6"
"648"	"DEPP1"	"M7"
"649"	"PDP1"	"M6"
"650"	"RASD2"	"M1"
"651"	"BGN"	"M3"
"652"	"ABLIM2"	"M1"
"653"	"SPON1"	"M3"
"654"	"NCALD"	"M1"
"655"	"JCAD"	"M4"
"656"	"CA10"	"M4"
"657"	"TTC9B"	"M4"
"658"	"PDGFRA"	"M5"
"659"	"GLUD2"	"M3"
"660"	"SLC16A1"	"Not.Correlated"
"661"	"LIMA1"	"M1"
"662"	"VSIR"	"M3"
"663"	"DISP2"	"M4"
"664"	"PMEPA1"	"M4"
"665"	"PDE1C"	"M5"
"666"	"RGS4"	"M1"
"667"	"EPB41"	"M4"
"668"	"KCNC1"	"M2"
"669"	"SEZ6"	"M2"
"670"	"EGFL7"	"M4"
"671"	"MAOA"	"M3"
"672"	"ADISSP"	"M1"
"673"	"PGM2L1"	"M6"
"674"	"EGR1"	"Not.Correlated"
"675"	"SYT13"	"M2"
"676"	"CPNE5"	"M1"
"677"	"YBX3"	"M7"
"678"	"PECAM1"	"M7"
"679"	"GALNT15"	"M5"
"680"	"MT1X"	"M3"
"681"	"CLVS2"	"M2"
"682"	"GNG2"	"M1"
"683"	"DENND3"	"M8"
"684"	"ST8SIA5"	"M4"
"685"	"TMEM145"	"M4"
"686"	"RHPN1"	"M1"
"687"	"MDGA1"	"M1"
"688"	"NPC2"	"M3"
"689"	"MAP7D2"	"M2"
"690"	"DOCK10"	"M5"
"691"	"PDE8A"	"M5"
"692"	"CGNL1"	"M3"
"693"	"HR"	"M4"
"694"	"KCNK1"	"M4"
"695"	"SYPL1"	"M5"
"696"	"ELOVL1"	"M5"
"697"	"ERBB3"	"M5"
"698"	"LPL"	"Not.Correlated"
"699"	"NUPR1"	"M2"
"700"	"BMP7"	"M3"
"701"	"KCNN3"	"M3"
"702"	"SMOC1"	"M5"
"703"	"STXBP5L"	"M2"
"704"	"SRGN"	"M7"
"705"	"IFITM2"	"M7"
"706"	"ZFYVE28"	"M4"
"707"	"SFI1"	"M4"
"708"	"CLMN"	"M5"
"709"	"VWA1"	"M5"
"710"	"CADPS2"	"M4"
"711"	"TMEM132B"	"M1"
"712"	"MFSD4A"	"M4"
"713"	"SELENBP1"	"M3"
"714"	"RNASET2"	"M8"
"715"	"SYTL2"	"Not.Correlated"
"716"	"TRMT9B"	"M4"
"717"	"PPFIBP1"	"M1"
"718"	"ZFP36"	"M7"
"719"	"ACHE"	"M2"
"720"	"TNFRSF25"	"M4"
"721"	"DAPK1"	"M1"
"722"	"TOMM34"	"M1"
"723"	"XAF1"	"M5"
"724"	"TNXB"	"M1"
"725"	"SEC14L5"	"M5"
"726"	"GRIN2A"	"M2"
"727"	"ZFP36L2"	"M3"
"728"	"GRIN2B"	"M1"
"729"	"SLC4A10"	"M2"
"730"	"SUSD4"	"M6"
"731"	"LMO7"	"M6"
"732"	"EPHA4"	"M2"
"733"	"MYH11"	"Not.Correlated"
"734"	"GADD45B"	"M7"
"735"	"CHRD"	"M4"
"736"	"WWTR1"	"M3"
"737"	"SHANK2"	"M6"
"738"	"NDN"	"M1"
"739"	"LY6H"	"M1"
"740"	"ASPA"	"M5"
"741"	"PNMA3"	"M2"
"742"	"CACNG4"	"M1"
"743"	"CARHSP1"	"M4"
"744"	"LRRC8B"	"M1"
"745"	"VSTM2L"	"M6"
"746"	"WIPF3"	"M6"
"747"	"BDH2"	"M3"
"748"	"RALYL"	"M2"
"749"	"MEIS2"	"Not.Correlated"
"750"	"PPP1R3C"	"M3"
"751"	"SRRM4"	"M2"
"752"	"MYBPC1"	"M3"
"753"	"ABCB1"	"M7"
"754"	"RGS7"	"M6"
"755"	"GSTM5"	"Not.Correlated"
"756"	"TCTE1"	"M4"
"757"	"RGS2"	"Not.Correlated"
"758"	"SH3KBP1"	"M1"
"759"	"FLRT2"	"M1"
"760"	"CDK5R2"	"M6"
"761"	"TCFL5"	"M5"
"762"	"RTKN"	"M5"
"763"	"KCNN1"	"M1"
"764"	"EEF2K"	"M4"
"765"	"LCNL1"	"Not.Correlated"
"766"	"PRICKLE2"	"M1"
"767"	"NKAIN2"	"M5"
"768"	"CHI3L1"	"M3"
"769"	"PLCL1"	"M5"
"770"	"NPIPA3"	"M4"
"771"	"SBK1"	"M4"
"772"	"KIAA0319"	"M6"
"773"	"DOCK5"	"M5"
"774"	"LIMS2"	"M5"
"775"	"HLA.DRA"	"M8"
"776"	"FGF14"	"M2"
"777"	"LIX1"	"M3"
"778"	"PFKFB2"	"M4"
"779"	"ELFN2"	"M1"
"780"	"PCSK6"	"M5"
"781"	"TLCD3B"	"M2"
"782"	"ABCG2"	"M5"
"783"	"RASL10B"	"M1"
"784"	"C4B"	"M7"
"785"	"CDR2L"	"M1"
"786"	"HIF3A"	"M3"
"787"	"PLK2"	"M1"
"788"	"SRGAP2B"	"M1"
"789"	"MYRIP"	"Not.Correlated"
"790"	"GAREM2"	"M3"
"791"	"OLIG2"	"M5"
"792"	"PAK3"	"M1"
"793"	"EVI2A"	"M5"
"794"	"CDC42EP1"	"M5"
"795"	"NECAB2"	"M1"
"796"	"C4A"	"M7"
"797"	"STXBP6"	"M1"
"798"	"FXYD7"	"M1"
"799"	"MCTP1"	"M2"
"800"	"KSR2"	"M2"
"801"	"DGKG"	"M4"
"802"	"TMEM35A"	"M2"
"803"	"IGSF21"	"M4"
"804"	"RASGRF2"	"M1"
"805"	"FKBP5"	"M3"
"806"	"LAMP5"	"M1"
"807"	"ARRDC2"	"M5"
"808"	"LAMB1"	"M5"
"809"	"SPX"	"M3"
"810"	"HSPB6"	"M2"
"811"	"TM4SF1"	"M7"
"812"	"GPR37"	"M5"
"813"	"CACNA1I"	"M6"
"814"	"GLCE"	"M4"
