,uniprot1,uniprot2,symbol1,symbol2,methods,pids,ndb,dbs,exp,go1,go2
16,Q8IWY9,Q9Y294,CDAN1,ASF1A,"affinity chromatography technology, anti tag coimmunoprecipitation, pull down","22407294, 26496610, 28514442",3,"biogrid, intact, mint",exp,"GO:0005737, GO:0005829, GO:0008104, GO:0005515, GO:0006325, GO:0016021, GO:0008156, GO:0012505, GO:0031497, GO:0005886, GO:0005634","GO:0031936, GO:0005654, GO:0042393, GO:0032991, GO:0006281, GO:0006336, GO:0005634, GO:0006335, GO:0006974, GO:0000790, GO:0006351, GO:0005515, GO:0003682, GO:0042692, GO:0006334, GO:0001649"
18,P09874,P55210,PARP1,CASP7,"enzymatic study, protease assay","18723680, 22451931, 9875225",3,"bci, biogrid, i2d, iid-pred, innatedb","exp, pred","GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0005737, GO:0097200, GO:0097153, GO:0005829, GO:0097194, GO:0005634, GO:0006915, GO:0005654, GO:0004197, GO:0072734, GO:0005515, GO:0006508, GO:0008233, GO:0008234"
19,Q13105,Q92547,ZBTB17,TOPBP1,"affinity chromatography technology, anti bait coimmunoprecipitation, pull down, two hybrid","12408820, 17006541, 18923429",3,"bci, biogrid, hprd, iid-pred, intact, mint","exp, pred","GO:0001702, GO:0008285, GO:0032991, GO:0001047, GO:0001223, GO:0007398, GO:0003700, GO:0032993, GO:0008134, GO:0005654, GO:0001228, GO:0071158, GO:0036498, GO:0001077, GO:0045944, GO:0005515, GO:0006366, GO:0045786, GO:0000978, GO:0046872, GO:0000981","GO:0005737, GO:0033314, GO:0008022, GO:0016604, GO:0010212, GO:0005515, GO:0006281, GO:0005634, GO:0005654, GO:0016605, GO:0000922, GO:0006974, GO:0000794, GO:0003677, GO:0006259, GO:0005815, GO:0005694, GO:0001673, GO:0042802, GO:0015629"
20,P51587,Q9P0W2,BRCA2,HMG20B,"affinity chromatography technology, anti bait coimmunoprecipitation, biochemical, imaging technique, pull down","11207365, 12032298, 21399666",3,"bci, biogrid, hprd, i2d, iid-pred, intact","exp, pred","GO:0045931, GO:0008022, GO:0033593, GO:0008585, GO:0000784, GO:0035264, GO:0010225, GO:0010485, GO:0007141, GO:0000722, GO:0032355, GO:0006302, GO:0000724, GO:0005813, GO:0005634, GO:0010332, GO:0004402, GO:0000281, GO:0000800, GO:0001556, GO:0005654, GO:1990426, GO:0048478, GO:0043967, GO:0002020, GO:0032465, GO:0010484, GO:0003697, GO:0042802, GO:0042127, GO:0070200, GO:0051298, GO:0043966, GO:0006281, GO:0030141, GO:0007584, GO:0010778, GO:0006289, GO:0006974, GO:0007283, GO:0045893, GO:0030097, GO:0051598, GO:0006978, GO:0010165, GO:0007420, GO:0032991, GO:0007569, GO:0042771, GO:0031619, GO:0001833, GO:0030879, GO:0033600, GO:0006355, GO:0043150, GO:0005515, GO:0043015, GO:0005829","GO:0005654, GO:0016604, GO:0033234, GO:0006357, GO:0004407, GO:0007596, GO:0016575, GO:0045666, GO:0006351, GO:0005515, GO:0003677, GO:0035914, GO:0046982, GO:0005694, GO:0007049, GO:0000981"
21,Q96Q15,Q9H1J1,SMG1,UPF3A,"affinity chromatography technology, anti bait coimmunoprecipitation, anti tag coimmunoprecipitation","11544179, 16452507, 18256688",3,"bci, biogrid, hprd, iid-pred, intact, mint","exp, pred","GO:0005737, GO:0005654, GO:0000184, GO:0005829, GO:0006281, GO:0032204, GO:0005634, GO:0016301, GO:0042162, GO:0005524, GO:0006974, GO:0004674, GO:0018105, GO:0003723, GO:0005515, GO:0046854, GO:2001020, GO:0004672, GO:0046872, GO:0046777, GO:0006406","GO:0005737, GO:0035145, GO:0000184, GO:0043231, GO:0005730, GO:0042162, GO:0005634, GO:0006913, GO:0017056, GO:0003723, GO:0005515, GO:0051028, GO:0045727, GO:0005829, GO:0003729"
23,P27694,Q9H9A7,RPA1,RMI1,"affinity chromatography technology, anti bait coimmunoprecipitation, tandem affinity purification","15775963, 24126761, 24332808",3,"biogrid, iid-pred, intact, mint","exp, pred","GO:0006294, GO:0006297, GO:0006296, GO:0034502, GO:0019985, GO:0000082, GO:0006298, GO:0042769, GO:0000784, GO:0007004, GO:0000723, GO:0043565, GO:0016605, GO:0051321, GO:0006293, GO:0000724, GO:0043047, GO:0005634, GO:0033683, GO:0005654, GO:0006260, GO:0006261, GO:0046872, GO:0006268, GO:0003697, GO:0006284, GO:0006283, GO:0006281, GO:0006289, GO:0006974, GO:0042276, GO:0006310, GO:1900034, GO:0098505, GO:0032201, GO:0036297, GO:0070987, GO:0005662, GO:0005515, GO:0003684","GO:0016604, GO:0005515, GO:0009749, GO:0005654, GO:0042593, GO:0006260, GO:0002023, GO:0035264, GO:0000166"
24,P38398,Q9GZX5,BRCA1,ZNF350,"affinity chromatography technology, coimmunoprecipitation, pull down, two hybrid","11090615, 16843262, 23991171",3,"biogrid, hprd, intact",exp,"GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893","GO:0044212, GO:0001227, GO:0016604, GO:0016363, GO:0017053, GO:0000122, GO:0003700, GO:0005634, GO:0001162, GO:0005654, GO:0006355, GO:0045892, GO:0006351, GO:0005515, GO:0003677, GO:0045944, GO:0046872, GO:0000981"
26,P09874,Q9NTX7,PARP1,RNF146,"affinity chromatography technology, enzymatic study, pull down","21825151, 26186194, 28514442",3,biogrid,exp,"GO:0044030, GO:0006294, GO:0006296, GO:0006293, GO:0032042, GO:0006471, GO:0051287, GO:0034644, GO:0019899, GO:2001170, GO:1903827, GO:0000724, GO:0023019, GO:0042769, GO:0000784, GO:0070911, GO:0003677, GO:0032869, GO:0003950, GO:0043504, GO:0000715, GO:0007005, GO:0000723, GO:0016020, GO:0071294, GO:0006302, GO:0000122, GO:0030331, GO:0018312, GO:0005634, GO:0005635, GO:0033683, GO:0005739, GO:0005654, GO:0030225, GO:0045944, GO:0070412, GO:0006366, GO:1904646, GO:1990404, GO:0042826, GO:0010332, GO:0042802, GO:0000977, GO:0006915, GO:0005667, GO:1903518, GO:0006281, GO:0008134, GO:0050790, GO:0033148, GO:0006974, GO:1904357, GO:0036211, GO:0070212, GO:1901216, GO:0032991, GO:0034599, GO:0007179, GO:0010613, GO:1900182, GO:1904044, GO:0032993, GO:0047485, GO:0016540, GO:0005730, GO:0060391, GO:0010990, GO:0019901, GO:0051901, GO:0003723, GO:0005515, GO:0001228, GO:1904762, GO:1990966, GO:1903376, GO:2000679, GO:0008270","GO:0072572, GO:0090263, GO:0004842, GO:0005829, GO:0016055, GO:0005654, GO:0051865, GO:0008270, GO:0005515, GO:0006511, GO:0005886, GO:0070936, GO:0061630"
27,O15304,P12004,SIVA1,PCNA,"affinity chromatography technology, anti tag coimmunoprecipitation, pull down, two hybrid","21988832, 24958773, 26496610",3,"biogrid, intact",exp,"GO:0005737, GO:0046718, GO:0001618, GO:0005175, GO:0097191, GO:0005164, GO:0005654, GO:0005515, GO:0046872","GO:1902065, GO:0006297, GO:0006296, GO:0019985, GO:0000083, GO:0019899, GO:1902990, GO:0043596, GO:0042769, GO:0000784, GO:0034644, GO:0000723, GO:0032355, GO:0016604, GO:0042276, GO:0000701, GO:0005813, GO:0005634, GO:0008283, GO:0030971, GO:0033683, GO:0005654, GO:0005657, GO:0032139, GO:0030855, GO:0046686, GO:0031297, GO:0032405, GO:0030337, GO:0030894, GO:0006283, GO:0030331, GO:0006281, GO:0070301, GO:0032077, GO:0035035, GO:0006298, GO:0006974, GO:0006977, GO:0043626, GO:0045740, GO:0070062, GO:0007507, GO:0071548, GO:0097421, GO:0032201, GO:0070987, GO:0016567, GO:0005663, GO:0044849, GO:0042802, GO:0005515, GO:0006272, GO:0070557, GO:0045739, GO:0003682, GO:0003684, GO:0070182"
28,Q14469,Q9HB96,HES1,FANCE,"affinity chromatography technology, yeast 2-hybrid","18550849, 19321451, 26277624",3,"biogrid, hprd",exp,"GO:2000737, GO:0061309, GO:0060716, GO:0072050, GO:0061626, GO:0001078, GO:0003151, GO:0005654, GO:0007219, GO:0003266, GO:0003714, GO:0042531, GO:0090162, GO:0031016, GO:0060253, GO:0048469, GO:0046331, GO:0001756, GO:0030513, GO:0072049, GO:0035910, GO:2000978, GO:0021537, GO:0048715, GO:0061009, GO:0048711, GO:0003281, GO:0060675, GO:0003677, GO:0043388, GO:0090102, GO:0065003, GO:0016477, GO:0042826, GO:0000981, GO:0043565, GO:0060164, GO:0021558, GO:0060412, GO:0035019, GO:0072141, GO:0097150, GO:0007224, GO:0006351, GO:0030154, GO:0061106, GO:0021555, GO:0021557, GO:2000974, GO:0070888, GO:0005737, GO:0050767, GO:1990837, GO:0072012, GO:0000122, GO:0005634, GO:0051087, GO:0045747, GO:0045977, GO:0042803, GO:0008284, GO:0008134, GO:0045892, GO:0045598, GO:0050678, GO:0045944, GO:0005515, GO:0030324, GO:0021575, GO:0072282, GO:0001889, GO:0042668, GO:0021984, GO:0071820, GO:0048844, GO:0048538, GO:0045608, GO:0000977, GO:0048667, GO:0046427, GO:0046425, GO:0042102, GO:0060122, GO:0097084, GO:0007155, GO:0003143, GO:0007399, GO:0003700, GO:0030901, GO:0021861, GO:2000227","GO:0005654, GO:0006281, GO:0005634, GO:0036297, GO:0006974, GO:0003674, GO:0005515, GO:0043240"
29,O75771,Q13422,RAD51D,IKZF1,"two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid prey pooling approach, validated two hybrid","21516116, 25416956, 25910212",3,"biogrid, intact, mint",exp,"GO:0033063, GO:0000781, GO:0000784, GO:0003677, GO:0000723, GO:0000724, GO:0005813, GO:0005634, GO:0000707, GO:0005654, GO:0005657, GO:0003697, GO:0005524, GO:0005737, GO:0006281, GO:0006289, GO:0006974, GO:0042148, GO:0007131, GO:0008094, GO:0000400, GO:0051726, GO:0036297, GO:0005515, GO:0043015","GO:0005737, GO:0044212, GO:0046872, GO:0032991, GO:0005515, GO:0030218, GO:0019904, GO:0005634, GO:0003677, GO:0051291, GO:0005654, GO:0006325, GO:0045892, GO:0003700, GO:0030098, GO:0031618, GO:0045944, GO:0007498, GO:0000981, GO:0007049, GO:0006351"
31,O00743,P78527,PPP6C,PRKDC,"affinity chromatography technology, anti tag coimmunoprecipitation, pull down","20065038, 24255178, 28330616",3,"biogrid, intact",exp,"GO:0048208, GO:0006470, GO:0005829, GO:0000082, GO:0004722, GO:0005739, GO:0000139, GO:0005515, GO:0046872, GO:0045087","GO:0048639, GO:0018105, GO:0033152, GO:0033153, GO:0016233, GO:0019899, GO:0000784, GO:0032869, GO:0007420, GO:0043065, GO:0006303, GO:0006302, GO:0005730, GO:0031648, GO:0005634, GO:0016020, GO:2001229, GO:0005654, GO:0048511, GO:0004677, GO:0043066, GO:0002360, GO:0048538, GO:0048146, GO:0048536, GO:0045944, GO:0003690, GO:0010332, GO:0005524, GO:0002326, GO:0006468, GO:0016301, GO:0005667, GO:0033077, GO:0008283, GO:0035234, GO:0045087, GO:0004672, GO:0008134, GO:0006464, GO:0006974, GO:0032481, GO:0005958, GO:0019904, GO:0016567, GO:0007507, GO:0032991, GO:0006281, GO:0001756, GO:0002638, GO:0004674, GO:0014823, GO:0008630, GO:0032993, GO:0072431, GO:0005829, GO:0042752, GO:0097681, GO:0002218, GO:0002328, GO:0003723, GO:0005515, GO:0048660, GO:0001933, GO:0070419, GO:2000773"
32,Q14145,Q86YC2,KEAP1,PALB2,"affinity chromatography technology, anti bait coimmunoprecipitation, enzymatic study, pull down","22331464, 25016020, 26649820",3,"biogrid, dip, intact",exp,"GO:0032436, GO:0005783, GO:0097718, GO:0005737, GO:0001701, GO:0071353, GO:0005815, GO:0005654, GO:0045604, GO:0016579, GO:0043687, GO:0042803, GO:0008134, GO:0005884, GO:0042994, GO:0031463, GO:0043433, GO:0005829, GO:0030496, GO:0010499, GO:0016567, GO:0006351, GO:0005515","GO:0005654, GO:0009887, GO:0005515, GO:0000724, GO:0007498, GO:0048568, GO:0001833, GO:0036342, GO:0006974, GO:0043066, GO:0035264, GO:0003677, GO:0006281, GO:0001756"
33,P07992,Q96S82,ERCC1,UBL7,"two hybrid, two hybrid array, two hybrid bait and prey pooling approach, two hybrid pooling approach, two hybrid prey pooling approach, validated two hybrid, yeast 2-hybrid","16189514, 25416956, 25910212",3,"biogrid, hprd, intact",exp,"GO:0006295, GO:0008022, GO:0006296, GO:0035264, GO:0006293, GO:0048568, GO:0035166, GO:0008584, GO:0009650, GO:1905765, GO:0000784, GO:0000109, GO:0003677, GO:0006949, GO:1990599, GO:0010165, GO:0001094, GO:0000720, GO:0006303, GO:0006281, GO:0033683, GO:0005654, GO:0046686, GO:0048477, GO:0003697, GO:0006310, GO:0045190, GO:0006283, GO:0008283, GO:0007584, GO:0006312, GO:0006289, GO:0006974, GO:0005669, GO:0007283, GO:0010259, GO:0019904, GO:0000110, GO:0061819, GO:0006979, GO:0090656, GO:0000014, GO:0009744, GO:0001302, GO:0032205, GO:0000710, GO:0036297, GO:0003684, GO:0035902, GO:0070914, GO:0005515, GO:0070522, GO:1904431, GO:0005829, GO:0070911",GO:0005515
34,P56180,Q9BXW9,TPTE,FANCD2,"affinity chromatography technology, proximity-dependent biotin identification, pull down","27432908, 27880917, 28330616",3,"biogrid, intact",exp,"GO:0008138, GO:0006470, GO:0004725, GO:0007165, GO:0035335, GO:0016021","GO:0097150, GO:0005654, GO:0070182, GO:0016604, GO:0005829, GO:0005730, GO:0048854, GO:0005634, GO:2000348, GO:0050727, GO:0007129, GO:0006974, GO:0000793, GO:0036297, GO:0005515, GO:0045589, GO:0034599, GO:0051090, GO:0006281, GO:0010332, GO:0007276"
35,Q00597,Q9Y2Y4,FANCC,ZBTB32,"affinity chromatography technology, two hybrid, yeast 2-hybrid","10572087, 11986317, 14499622",3,"biogrid, hprd, iid-pred","exp, pred","GO:0005737, GO:0097150, GO:0005829, GO:0006281, GO:0005634, GO:0048854, GO:0002262, GO:0005654, GO:0036297, GO:0006289, GO:0007281, GO:0006974, GO:0005515, GO:0019430, GO:0034599, GO:0065003, GO:0043240","GO:0000122, GO:0005634, GO:0003714, GO:0005654, GO:0008270, GO:0005515, GO:0006366, GO:0003677, GO:0000981"
36,P05412,P38398,JUN,BRCA1,"affinity chromatography technology, anti bait coimmunoprecipitation, chromatin immunoprecipitation assay, coimmunoprecipitation, pull down","12080089, 23339184, 25609649",3,"bci, biogrid, dip, hprd, i2d, iid-ortho, iid-pred, intact, mint","exp, ortho, pred","GO:0001102, GO:0030224, GO:0007612, GO:0051899, GO:0001077, GO:0043524, GO:0043525, GO:1902895, GO:0061029, GO:0003151, GO:0003713, GO:0009612, GO:0009314, GO:0042127, GO:0031103, GO:0005096, GO:0000790, GO:0031625, GO:0010033, GO:0007179, GO:0010634, GO:0044212, GO:0060395, GO:0005829, GO:0045657, GO:0005667, GO:0031953, GO:0003677, GO:0000228, GO:0035994, GO:0005719, GO:0043547, GO:0005654, GO:0006366, GO:0000982, GO:0000981, GO:0000980, GO:1990441, GO:0007623, GO:0034097, GO:0071277, GO:0071276, GO:0001774, GO:0043392, GO:0038095, GO:0042542, GO:2000144, GO:0035497, GO:0046982, GO:0051365, GO:0019899, GO:0035026, GO:0000122, GO:0005634, GO:0035976, GO:0045740, GO:0042802, GO:0042803, GO:0008285, GO:0008134, GO:0045597, GO:0032870, GO:0045892, GO:0045893, GO:0043922, GO:0043923, GO:0051090, GO:0007568, GO:0048146, GO:0042493, GO:0045944, GO:0003723, GO:0005515, GO:0003682, GO:0001889, GO:0001525, GO:0032496, GO:0001190, GO:0043065, GO:0070412, GO:1904707, GO:0017053, GO:0070374, GO:0034614, GO:0007265, GO:0071837, GO:0000978, GO:0051726, GO:0003700, GO:0010941, GO:0003705, GO:0001836, GO:0001938, GO:0051591","GO:0006633, GO:1902042, GO:0035066, GO:0035067, GO:1990904, GO:0044030, GO:0050681, GO:0033147, GO:0019899, GO:0008274, GO:0010628, GO:0008270, GO:0045766, GO:0003677, GO:0005634, GO:0042981, GO:0044818, GO:0005737, GO:0005654, GO:0006349, GO:0070063, GO:0006302, GO:0006301, GO:0000724, GO:0071356, GO:0006978, GO:0000729, GO:0003713, GO:0000800, GO:0071158, GO:0070512, GO:0085020, GO:0006260, GO:0031398, GO:0070531, GO:0007098, GO:0043009, GO:0005694, GO:0006303, GO:0042127, GO:0072425, GO:2000378, GO:2000620, GO:0005515, GO:0006281, GO:0006357, GO:0006915, GO:0006974, GO:0045892, GO:0070317, GO:0046600, GO:0005886, GO:0043627, GO:0051571, GO:0051572, GO:0051573, GO:0051574, GO:2000617, GO:0071681, GO:0010212, GO:0044212, GO:0031625, GO:0032991, GO:0008630, GO:0009048, GO:0004842, GO:0016579, GO:0010575, GO:0030521, GO:0015631, GO:0000151, GO:0003684, GO:0016567, GO:0051865, GO:0045944, GO:0006351, GO:0007059, GO:0003723, GO:0031436, GO:0045739, GO:0006359, GO:0045717, GO:0045893"
